track,domain,system_id,embedding_model,generator_model,failure_type,count
end-to-end,general-docs,hybrid-rerank,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,e5-large-v2-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid-rerank,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,e5-large-v2-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,hybrid-rerank,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid-rerank,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,finance-e5-proxy,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid-rerank,finance-e5-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,general-docs,hybrid-rerank,finance-e5-proxy,extractive-strict,context_bloat,3
end-to-end,general-docs,hybrid-rerank,finance-e5-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,hybrid-rerank,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,1
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,balanced-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,balanced-oss-llm,generation_hallucination,2
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,extractive-strict,context_bloat,2
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,extractive-strict,generation_hallucination,1
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,generation_hallucination,2
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,2
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,extractive-strict,context_bloat,2
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,extractive-strict,generation_hallucination,1
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,e5-large-v2-proxy,reasoning-oss-llm,generation_hallucination,2
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,balanced-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,balanced-oss-llm,generation_hallucination,2
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,extractive-strict,context_bloat,2
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,extractive-strict,generation_hallucination,1
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,context_bloat,1
end-to-end,general-docs,pageindex-oss,finance-e5-proxy,reasoning-oss-llm,generation_hallucination,2
end-to-end,general-docs,parent-child,none,balanced-oss-llm,context_bloat,2
end-to-end,general-docs,parent-child,none,balanced-oss-llm,generation_hallucination,2
end-to-end,general-docs,parent-child,none,balanced-oss-llm,retrieval_miss,5
end-to-end,general-docs,parent-child,none,extractive-strict,context_bloat,3
end-to-end,general-docs,parent-child,none,extractive-strict,generation_hallucination,1
end-to-end,general-docs,parent-child,none,extractive-strict,retrieval_miss,5
end-to-end,general-docs,parent-child,none,reasoning-oss-llm,context_bloat,2
end-to-end,general-docs,parent-child,none,reasoning-oss-llm,generation_hallucination,2
end-to-end,general-docs,parent-child,none,reasoning-oss-llm,retrieval_miss,5
generator-oracle,finance,oracle-context,gold-context,balanced-oss-llm,generation_hallucination,5
generator-oracle,finance,oracle-context,gold-context,extractive-strict,generation_hallucination,7
generator-oracle,finance,oracle-context,gold-context,reasoning-oss-llm,generation_hallucination,2
generator-oracle,financebench-open-source,oracle-context,gold-context,balanced-oss-llm,generation_hallucination,33
generator-oracle,financebench-open-source,oracle-context,gold-context,extractive-strict,generation_hallucination,48
generator-oracle,financebench-open-source,oracle-context,gold-context,reasoning-oss-llm,generation_hallucination,7
generator-oracle,general-docs,oracle-context,gold-context,balanced-oss-llm,generation_hallucination,3
generator-oracle,general-docs,oracle-context,gold-context,extractive-strict,generation_hallucination,2
generator-oracle,general-docs,oracle-context,gold-context,reasoning-oss-llm,generation_hallucination,2
retrieval-only,finance,bm25,none,retrieval-probe,retrieval_miss,7
retrieval-only,finance,hybrid,bge-m3-proxy,retrieval-probe,retrieval_miss,1
retrieval-only,finance,hybrid,e5-large-v2-proxy,retrieval-probe,retrieval_miss,1
retrieval-only,finance,hybrid,finance-e5-proxy,retrieval-probe,retrieval_miss,2
retrieval-only,finance,parent-child,none,retrieval-probe,retrieval_miss,6
retrieval-only,financebench-open-source,bm25,none,retrieval-probe,context_bloat,8
retrieval-only,financebench-open-source,bm25,none,retrieval-probe,retrieval_miss,83
retrieval-only,financebench-open-source,dense-vector,bge-m3-proxy,retrieval-probe,context_bloat,14
retrieval-only,financebench-open-source,dense-vector,bge-m3-proxy,retrieval-probe,generation_hallucination,1
retrieval-only,financebench-open-source,dense-vector,bge-m3-proxy,retrieval-probe,retrieval_miss,79
retrieval-only,financebench-open-source,dense-vector,e5-large-v2-proxy,retrieval-probe,context_bloat,14
retrieval-only,financebench-open-source,dense-vector,e5-large-v2-proxy,retrieval-probe,generation_hallucination,1
retrieval-only,financebench-open-source,dense-vector,e5-large-v2-proxy,retrieval-probe,retrieval_miss,80
retrieval-only,financebench-open-source,dense-vector,finance-e5-proxy,retrieval-probe,context_bloat,14
retrieval-only,financebench-open-source,dense-vector,finance-e5-proxy,retrieval-probe,generation_hallucination,1
retrieval-only,financebench-open-source,dense-vector,finance-e5-proxy,retrieval-probe,retrieval_miss,80
retrieval-only,financebench-open-source,hybrid,bge-m3-proxy,retrieval-probe,context_bloat,11
retrieval-only,financebench-open-source,hybrid,bge-m3-proxy,retrieval-probe,retrieval_miss,76
retrieval-only,financebench-open-source,hybrid,e5-large-v2-proxy,retrieval-probe,context_bloat,10
retrieval-only,financebench-open-source,hybrid,e5-large-v2-proxy,retrieval-probe,retrieval_miss,78
retrieval-only,financebench-open-source,hybrid,finance-e5-proxy,retrieval-probe,context_bloat,8
retrieval-only,financebench-open-source,hybrid,finance-e5-proxy,retrieval-probe,retrieval_miss,81
retrieval-only,financebench-open-source,hybrid-rerank,bge-m3-proxy,retrieval-probe,context_bloat,8
